algorithm,task,expression
xgboost,10093,"make_tuple(427, 0.13113255552531555, truediv(1, 0.9714934497994169), 0.0018926799600213226, 0.14681725826707645, sub(expit(3), 0.036301157545968576), add(13, 0.0044588690258161355), sub(2, 0.596765754505527), 0.8420761296983298, truediv(17, 35))"
xgboost,167211,"make_tuple(398, 0.131161958400593, add(1, 0.03391120639435558), 0.001922628276520143, 0.004944276464044663, sub(1, 0.125692190455167), 13, 1.4027758331427111, 0.8420956738471725, 0.574401073568005)"
xgboost,9952,"make_tuple(427, 0.13113645678162603, 1.0495099569714852, 0.0026077622737888124, 0.14689546297383937, expit(add(2, 0.38944417937499126)), add(13, 0.013362028887276433), pow(2, 0.4889441544493023), 0.8423872304631633, 0.49059432232644884)"
xgboost,23,"make_tuple(427, 0.13113255552531555, truediv(1, 0.9714934497994169), 0.0018926799600213226, 0.14681725826707645, sub(expit(3), 0.036301157545968576), add(13, 0.0044588690258161355), sub(2, 0.596765754505527), 0.8420761296983298, truediv(17, 35))"
xgboost,3493,"make_tuple(427, 0.13113645678162603, 1.0495099569714852, 0.0026077622737888124, 0.14689546297383937, expit(add(2, 0.38944417937499126)), add(13, 0.013362028887276433), pow(2, 0.4889441544493023), 0.8423872304631633, 0.49059432232644884)"
xgboost,9946,"make_tuple(332, 0.19161677796954782, 7, 0.0021278718337926117, 0.36385613093029906, sub(1, 0.03389483542229867), 13, add(2, 0.07398334093635549), 0.8392943972137834, 0.49101260018459597)"
xgboost,37,"make_tuple(427, 0.1311779659741068, 1.0476692198312312, 0.002300256736968908, 0.14702980830222506, expit(sub(2, 0.07388145464827119)), 13, sub(2, 0.5982221499450237), 0.8420998743537215, 0.49085877465823297)"
xgboost,146819,"make_tuple(427, 0.13113645678162603, 1.0495099569714852, 0.0026077622737888124, 0.14689546297383937, expit(add(2, 0.38944417937499126)), add(13, 0.013362028887276433), pow(2, 0.4889441544493023), 0.8423872304631633, 0.49059432232644884)"
xgboost,168338,"make_tuple(332, 0.19161677796954782, 7, 0.0021278718337926117, 0.36385613093029906, sub(1, 0.03389483542229867), 13, add(2, 0.07398334093635549), 0.8392943972137834, 0.49101260018459597)"
xgboost,3918,"make_tuple(427, 0.13113645678162603, 1.0495099569714852, 0.0026077622737888124, 0.14689546297383937, expit(add(2, 0.38944417937499126)), add(13, 0.013362028887276433), pow(2, 0.4889441544493023), 0.8423872304631633, 0.49059432232644884)"
xgboost,146607,"make_tuple(427, 0.1311779659741068, 1.0476692198312312, 0.002300256736968908, 0.14702980830222506, expit(sub(2, 0.07388145464827119)), 13, sub(2, 0.5982221499450237), 0.8420998743537215, 0.49085877465823297)"
xgboost,146821,"make_tuple(398, 0.131161958400593, add(1, 0.03391120639435558), 0.001922628276520143, 0.004944276464044663, sub(1, 0.125692190455167), 13, 1.4027758331427111, 0.8420956738471725, 0.574401073568005)"
xgboost,189924,"make_tuple(406, 0.18608838564070268, sub(13, 0.45112175002902033), 0.002118969991393209, 0.010330164745170133, expit(2), 10, pow(2, 0.44566448783295903), 0.9036983848646882, expit(0.00866888343383866))"
xgboost,14969,"make_tuple(406, 0.18608838564070268, sub(13, 0.45112175002902033), 0.002118969991393209, 0.010330164745170133, expit(2), 10, pow(2, 0.44566448783295903), 0.9036983848646882, expit(0.00866888343383866))"
xgboost,167119,"make_tuple(332, 0.19227984881095797, sub(13, 0.5092330274494798), 0.0021722928208238166, 0.3607513844790126, expit(3), 13, add(0.07559603141021738, 2), 0.8523205379131216, 0.4803821654075349)"
xgboost,189928,"make_tuple(406, 0.1862432064921333, add(0.45153983420467286, 12), 0.002177049493441016, 0.36414717741796854, expit(3), 10, sub(2, truediv(0.00680865562912539, 0.03733078875285133)), mul(42, 0.02132590180568976), 0.47501077289647853)"
xgboost,168329,"make_tuple(392, 0.1311320863018507, 1, 0.001219861131562393, 0.14693722907557064, expit(sub(2, 0.07001745994465207)), 13, mul(0.7015552597896143, 2), mul(4, 0.21325277650915825), 0.4675658798231484)"
xgboost,3917,"make_tuple(392, 0.1311320863018507, 1, 0.001219861131562393, 0.14693722907557064, expit(sub(2, 0.07001745994465207)), 13, mul(0.7015552597896143, 2), mul(4, 0.21325277650915825), 0.4675658798231484)"
xgboost,2079,"make_tuple(406, 0.1862432064921333, add(0.45153983420467286, 12), 0.002177049493441016, 0.36414717741796854, expit(3), 10, sub(2, truediv(0.00680865562912539, 0.03733078875285133)), mul(42, 0.02132590180568976), 0.47501077289647853)"
xgboost,29,"make_tuple(332, 0.19227984881095797, sub(13, 0.5092330274494798), 0.0021722928208238166, 0.3607513844790126, expit(3), 13, add(0.07559603141021738, 2), 0.8523205379131216, 0.4803821654075349)"
xgboost,3512,"make_tuple(392, 0.1311320863018507, 1, 0.001219861131562393, 0.14693722907557064, expit(sub(2, 0.07001745994465207)), 13, mul(0.7015552597896143, 2), mul(4, 0.21325277650915825), 0.4675658798231484)"
xgboost,146825,"make_tuple(406, 0.18608838564070268, sub(13, 0.45112175002902033), 0.002118969991393209, 0.010330164745170133, expit(2), 10, pow(2, 0.44566448783295903), 0.9036983848646882, expit(0.00866888343383866))"
xgboost,14,"make_tuple(392, 0.1311320863018507, 1, 0.001219861131562393, 0.14693722907557064, expit(sub(2, 0.07001745994465207)), 13, mul(0.7015552597896143, 2), mul(4, 0.21325277650915825), 0.4675658798231484)"
xgboost,146822,"make_tuple(406, 0.18608838564070268, sub(13, 0.45112175002902033), 0.002118969991393209, 0.010330164745170133, expit(2), 10, pow(2, 0.44566448783295903), 0.9036983848646882, expit(0.00866888343383866))"
xgboost,146824,"make_tuple(406, 0.1862432064921333, add(0.45153983420467286, 12), 0.002177049493441016, 0.36414717741796854, expit(3), 10, sub(2, truediv(0.00680865562912539, 0.03733078875285133)), mul(42, 0.02132590180568976), 0.47501077289647853)"
xgboost,43,"make_tuple(392, 0.1311320863018507, 1, 0.001219861131562393, 0.14693722907557064, expit(sub(2, 0.07001745994465207)), 13, mul(0.7015552597896143, 2), mul(4, 0.21325277650915825), 0.4675658798231484)"
xgboost,167141,"make_tuple(406, 0.1862432064921333, add(0.45153983420467286, 12), 0.002177049493441016, 0.36414717741796854, expit(3), 10, sub(2, truediv(0.00680865562912539, 0.03733078875285133)), mul(42, 0.02132590180568976), 0.47501077289647853)"
xgboost,146606,"make_tuple(332, 0.19227984881095797, sub(13, 0.5092330274494798), 0.0021722928208238166, 0.3607513844790126, expit(3), 13, add(0.07559603141021738, 2), 0.8523205379131216, 0.4803821654075349)"
xgboost,168332,"make_tuple(406, 0.1862432064921333, add(0.45153983420467286, 12), 0.002177049493441016, 0.36414717741796854, expit(3), 10, sub(2, truediv(0.00680865562912539, 0.03733078875285133)), mul(42, 0.02132590180568976), 0.47501077289647853)"
xgboost,3903,"make_tuple(406, 0.1862432064921333, add(0.45153983420467286, 12), 0.002177049493441016, 0.36414717741796854, expit(3), 10, sub(2, truediv(0.00680865562912539, 0.03733078875285133)), mul(42, 0.02132590180568976), 0.47501077289647853)"
xgboost,3,"make_tuple(332, 0.19218445014293015, sub(13, 0.5388673598079939), 0.002174839748186004, 0.36109057055995275, 0.9646587092663537, 13, add(2, 0.07570871534634689), 0.8521202401174385, 0.47512462830366337)"
xgboost,3573,"make_tuple(332, 0.19218445014293015, sub(13, 0.5388673598079939), 0.002174839748186004, 0.36109057055995275, 0.9646587092663537, 13, add(2, 0.07570871534634689), 0.8521202401174385, 0.47512462830366337)"
xgboost,2073,"make_tuple(332, 0.19227984881095797, sub(13, 0.5092330274494798), 0.0021722928208238166, 0.3607513844790126, expit(3), 13, add(0.07559603141021738, 2), 0.8523205379131216, 0.4803821654075349)"
xgboost,6,"make_tuple(406, 0.1862432064921333, add(0.45153983420467286, 12), 0.002177049493441016, 0.36414717741796854, expit(3), 10, sub(2, truediv(0.00680865562912539, 0.03733078875285133)), mul(42, 0.02132590180568976), 0.47501077289647853)"
xgboost,146818,"make_tuple(332, 0.19218445014293015, sub(13, 0.5388673598079939), 0.002174839748186004, 0.36109057055995275, 0.9646587092663537, 13, add(2, 0.07570871534634689), 0.8521202401174385, 0.47512462830366337)"
xgboost,18,"make_tuple(406, 0.18608838564070268, sub(13, 0.45112175002902033), 0.002118969991393209, 0.010330164745170133, expit(2), 10, pow(2, 0.44566448783295903), 0.9036983848646882, expit(0.00866888343383866))"
xgboost,168339,"make_tuple(332, 0.19258991025238412, 7, 0.0021748798458407427, 0.3850223203146794, truediv(141, 146), 13, add(2, 0.0810216082482094), 0.8523532261715692, truediv(390, 796))"
xgboost,9956,"make_tuple(388, 0.13141745795754511, add(1, 0.033811391746693016), 0.0013170923311812757, 0.11709873501955298, 0.8735124911981355, 13, add(0.7478080984507388, 0.653676046249354), 0.843306740098115, 0.5085850720844467)"
xgboost,168331,"make_tuple(388, 0.13142957024728535, add(0.03388014201907598, 1), 0.0019221478941737543, 0.14696886767961248, 0.9468590690603425, add(13, 0.2000056551178609), add(1, 0.40273829025003854), 0.8477935519515294, 0.491047305442932)"
xgboost,9977,"make_tuple(332, 0.19161989348665723, add(7, 0.09276691701952211), 0.002174068555809528, 0.3850617079432333, 0.9650330901927475, 13, add(2, 0.0813492240521638), 0.852524961090312, 0.4910472383180793)"
xgboost,168336,"make_tuple(388, 0.13142957024728535, add(0.03388014201907598, 1), 0.0019221478941737543, 0.14696886767961248, 0.9468590690603425, add(13, 0.2000056551178609), add(1, 0.40273829025003854), 0.8477935519515294, 0.491047305442932)"
xgboost,3021,"make_tuple(332, 0.19258991025238412, 7, 0.0021748798458407427, 0.3850223203146794, truediv(141, 146), 13, add(2, 0.0810216082482094), 0.8523532261715692, truediv(390, 796))"
xgboost,24,"make_tuple(332, 0.19258991025238412, 7, 0.0021748798458407427, 0.3850223203146794, truediv(141, 146), 13, add(2, 0.0810216082482094), 0.8523532261715692, truediv(390, 796))"
xgboost,58,"make_tuple(388, 0.13142957024728535, add(0.03388014201907598, 1), 0.0019221478941737543, 0.14696886767961248, 0.9468590690603425, add(13, 0.2000056551178609), add(1, 0.40273829025003854), 0.8477935519515294, 0.491047305442932)"
xgboost,9960,"make_tuple(332, 0.19258991025238412, 7, 0.0021748798458407427, 0.3850223203146794, truediv(141, 146), 13, add(2, 0.0810216082482094), 0.8523532261715692, truediv(390, 796))"
xgboost,3561,"make_tuple(388, 0.13142957024728535, add(0.03388014201907598, 1), 0.0019221478941737543, 0.14696886767961248, 0.9468590690603425, add(13, 0.2000056551178609), add(1, 0.40273829025003854), 0.8477935519515294, 0.491047305442932)"
xgboost,168868,"make_tuple(332, 0.19258991025238412, 7, 0.0021748798458407427, 0.3850223203146794, truediv(141, 146), 13, add(2, 0.0810216082482094), 0.8523532261715692, truediv(390, 796))"
xgboost,28,"make_tuple(332, 0.19161989348665723, add(7, 0.09276691701952211), 0.002174068555809528, 0.3850617079432333, 0.9650330901927475, 13, add(2, 0.0813492240521638), 0.852524961090312, 0.4910472383180793)"
xgboost,9971,"make_tuple(388, 0.13142957024728535, 1, 0.0019221478941737543, 0.14696886767961248, 0.9468590690603425, 13, add(1, 0.40273829025003854), 0.8477935519515294, 0.49106026431687994)"
xgboost,45,"make_tuple(388, 0.13141745795754511, add(1, 0.033811391746693016), 0.0013170923311812757, 0.11709873501955298, 0.8735124911981355, 13, add(0.7478080984507388, 0.653676046249354), 0.843306740098115, 0.5085850720844467)"
xgboost,9950,"make_tuple(332, 0.19161989348665723, add(7, 0.09276691701952211), 0.002174068555809528, 0.3850617079432333, 0.9650330901927475, 13, add(2, 0.0813492240521638), 0.852524961090312, 0.4910472383180793)"
xgboost,168330,"make_tuple(332, 0.19258991025238412, 7, 0.0021748798458407427, 0.3850223203146794, truediv(141, 146), 13, add(2, 0.0810216082482094), 0.8523532261715692, truediv(390, 796))"
xgboost,168337,"make_tuple(332, 0.19258991025238412, 7, 0.0021748798458407427, 0.3850223203146794, truediv(141, 146), 13, add(2, 0.0810216082482094), 0.8523532261715692, truediv(390, 796))"
xgboost,167120,"make_tuple(388, 0.13142957024728535, add(0.03388014201907598, 1), 0.0019221478941737543, 0.14696886767961248, 0.9468590690603425, add(13, 0.2000056551178609), add(1, 0.40273829025003854), 0.8477935519515294, 0.491047305442932)"
xgboost,41,"make_tuple(332, 0.19258991025238412, 7, 0.0021748798458407427, 0.3850223203146794, truediv(141, 146), 13, add(2, 0.0810216082482094), 0.8523532261715692, truediv(390, 796))"
xgboost,16,"make_tuple(388, 0.13141745795754511, add(1, 0.033811391746693016), 0.0013170923311812757, 0.11709873501955298, 0.8735124911981355, 13, add(0.7478080984507388, 0.653676046249354), 0.843306740098115, 0.5085850720844467)"
xgboost,125921,"make_tuple(388, 0.13141745795754511, add(1, 0.033811391746693016), 0.0013170923311812757, 0.11709873501955298, 0.8735124911981355, 13, add(0.7478080984507388, 0.653676046249354), 0.843306740098115, 0.5085850720844467)"
xgboost,3485,"make_tuple(332, 0.19258991025238412, 7, 0.0021748798458407427, 0.3850223203146794, truediv(141, 146), 13, add(2, 0.0810216082482094), 0.8523532261715692, truediv(390, 796))"
xgboost,146817,"make_tuple(332, 0.19161989348665723, add(7, 0.09276691701952211), 0.002174068555809528, 0.3850617079432333, 0.9650330901927475, 13, add(2, 0.0813492240521638), 0.852524961090312, 0.4910472383180793)"
xgboost,9964,"make_tuple(388, 0.13141745795754511, add(1, 0.033811391746693016), 0.0013170923311812757, 0.11709873501955298, 0.8735124911981355, 13, add(0.7478080984507388, 0.653676046249354), 0.843306740098115, 0.5085850720844467)"
xgboost,168912,"make_tuple(327, 0.18628530577792907, 7, 0.0021291624797974496, 0.010453635127767211, expit(2), 9, 2, mul(0.00603804970513889, 130), 0.5732859751863211)"
xgboost,168908,"make_tuple(318, 0.13466930078044023, mul(0.5329983776207289, 2), mul(0.059444608275168946, 0.0042521226266115176), 0.00904659824830357, 0.9061583376880625, 10, add(1, 0.2941709049118178), 0.7917399496771397, 0.6507741385065444)"
xgboost,3560,"make_tuple(327, 0.18628530577792907, 7, 0.0021291624797974496, 0.010453635127767211, expit(2), 9, 2, mul(0.00603804970513889, 130), 0.5732859751863211)"
xgboost,12,"make_tuple(324, 0.18605708587896463, add(3, 0.04263570640832953), 0.0035445671201307254, 0.010636269619847509, mul(7, 0.1265481584685251), 9, truediv(3, 2), 0.7829273691429088, 0.5659554417038251)"
xgboost,9957,"make_tuple(324, 0.18623343632967482, truediv(3, 0.8907095734749814), 0.0035454875122366857, 0.012160978852638749, add(expit(2), 0.0053924812868994315), 9, pow(2, 0.5047581187270462), 0.7851179156016609, 0.5659154262763774)"
xgboost,145681,"make_tuple(318, 0.13466930078044023, mul(0.5329983776207289, 2), mul(0.059444608275168946, 0.0042521226266115176), 0.00904659824830357, 0.9061583376880625, 10, add(1, 0.2941709049118178), 0.7917399496771397, 0.6507741385065444)"
xgboost,146800,"make_tuple(318, 0.13466930078044023, mul(0.5329983776207289, 2), mul(0.059444608275168946, 0.0042521226266115176), 0.00904659824830357, 0.9061583376880625, 10, add(1, 0.2941709049118178), 0.7917399496771397, 0.6507741385065444)"
xgboost,49,"make_tuple(318, 0.13466930078044023, mul(0.5329983776207289, 2), mul(0.059444608275168946, 0.0042521226266115176), 0.00904659824830357, 0.9061583376880625, 10, add(1, 0.2941709049118178), 0.7917399496771397, 0.6507741385065444)"
xgboost,14971,"make_tuple(324, 0.18605708587896463, add(3, 0.04263570640832953), 0.0035445671201307254, 0.010636269619847509, mul(7, 0.1265481584685251), 9, truediv(3, 2), 0.7829273691429088, 0.5659554417038251)"
xgboost,14952,"make_tuple(327, 0.18628530577792907, 7, 0.0021291624797974496, 0.010453635127767211, expit(2), 9, 2, mul(0.00603804970513889, 130), 0.5732859751863211)"
xgboost,125920,"make_tuple(324, 0.18605708587896463, add(3, 0.04263570640832953), 0.0035445671201307254, 0.010636269619847509, mul(7, 0.1265481584685251), 9, truediv(3, 2), 0.7829273691429088, 0.5659554417038251)"
xgboost,3481,"make_tuple(327, 0.18628530577792907, 7, 0.0021291624797974496, 0.010453635127767211, expit(2), 9, 2, mul(0.00603804970513889, 130), 0.5732859751863211)"
xgboost,53,"make_tuple(324, 0.18623343632967482, truediv(3, 0.8907095734749814), 0.0035454875122366857, 0.012160978852638749, add(expit(2), 0.0053924812868994315), 9, pow(2, 0.5047581187270462), 0.7851179156016609, 0.5659154262763774)"
xgboost,10101,"make_tuple(324, 0.18623343632967482, truediv(3, 0.8907095734749814), 0.0035454875122366857, 0.012160978852638749, add(expit(2), 0.0053924812868994315), 9, pow(2, 0.5047581187270462), 0.7851179156016609, 0.5659154262763774)"
xgboost,146212,"make_tuple(318, 0.13466930078044023, mul(0.5329983776207289, 2), mul(0.059444608275168946, 0.0042521226266115176), 0.00904659824830357, 0.9061583376880625, 10, add(1, 0.2941709049118178), 0.7917399496771397, 0.6507741385065444)"
xgboost,32,"make_tuple(318, 0.13276597104252136, 2, 0.004336780578411909, 0.002717145126348172, 0.9069337469522656, 10, pow(3, 0.23481969529826138), expit(1), 0.6808652152945717)"
xgboost,146195,"make_tuple(318, 0.13466930078044023, mul(0.5329983776207289, 2), mul(0.059444608275168946, 0.0042521226266115176), 0.00904659824830357, 0.9061583376880625, 10, add(1, 0.2941709049118178), 0.7917399496771397, 0.6507741385065444)"
xgboost,14970,"make_tuple(324, 0.18623343632967482, truediv(3, 0.8907095734749814), 0.0035454875122366857, 0.012160978852638749, add(expit(2), 0.0053924812868994315), 9, pow(2, 0.5047581187270462), 0.7851179156016609, 0.5659154262763774)"
xgboost,11,"make_tuple(324, 0.18623343632967482, truediv(3, 0.8907095734749814), 0.0035454875122366857, 0.012160978852638749, add(expit(2), 0.0053924812868994315), 9, pow(2, 0.5047581187270462), 0.7851179156016609, 0.5659154262763774)"
xgboost,9981,"make_tuple(324, 0.18605708587896463, add(3, 0.04263570640832953), 0.0035445671201307254, 0.010636269619847509, mul(7, 0.1265481584685251), 9, truediv(3, 2), 0.7829273691429088, 0.5659554417038251)"
xgboost,22,"make_tuple(327, 0.18628530577792907, 7, 0.0021291624797974496, 0.010453635127767211, expit(2), 9, 2, mul(0.00603804970513889, 130), 0.5732859751863211)"
xgboost,167124,"make_tuple(324, 0.18623343632967482, truediv(3, 0.8907095734749814), 0.0035454875122366857, 0.012160978852638749, add(expit(2), 0.0053924812868994315), 9, pow(2, 0.5047581187270462), 0.7851179156016609, 0.5659154262763774)"
xgboost,168910,"make_tuple(318, 0.13466930078044023, mul(0.5329983776207289, 2), 0.004212030897194418, 0.009051069740785485, 0.9061583376880625, 10, add(1, 0.2941709049118178), 0.7917399496771397, 0.6814585618260053)"
xgboost,3945,"make_tuple(327, 0.18628530577792907, 7, 0.0021291624797974496, 0.010453635127767211, expit(2), 9, 2, mul(0.00603804970513889, 130), 0.5732859751863211)"
