search,task,0,problem
True,168337.0,1,xgboost
True,168338.0,4,xgboost
True,168909.0,10,xgboost
True,168910.0,3,xgboost
True,168332.0,1,xgboost
True,168331.0,1,xgboost
True,168330.0,2,xgboost
True,189928.0,3,xgboost
True,189924.0,3,xgboost
True,189927.0,2,xgboost
True,10106.0,2,xgboost
True,14952.0,2,xgboost
True,168339.0,2,xgboost
True,3549.0,1,xgboost
True,45.0,2,xgboost
True,3560.0,3,xgboost
True,3561.0,4,xgboost
True,49.0,3,xgboost
True,3573.0,2,xgboost
True,6.0,3,xgboost
True,58.0,4,xgboost
True,14954.0,1,xgboost
mupluslambda,3893.0,1,xgboost
mupluslambda,3902.0,2,xgboost
mupluslambda,3903.0,1,xgboost
mupluslambda,3904.0,2,xgboost
mupluslambda,3907.0,3,xgboost
mupluslambda,3913.0,2,xgboost
mupluslambda,3917.0,2,xgboost
mupluslambda,11.0,2,xgboost
mupluslambda,3945.0,1,xgboost
mupluslambda,14971.0,2,xgboost
mupluslambda,14.0,2,xgboost
mupluslambda,10090.0,2,xgboost
mupluslambda,14965.0,1,xgboost
mupluslambda,10093.0,2,xgboost
mupluslambda,10101.0,2,xgboost
mupluslambda,9981.0,1,xgboost
mupluslambda,9985.0,2,xgboost
mupluslambda,9986.0,2,xgboost
mupluslambda,14970.0,1,xgboost
mupluslambda,9970.0,2,xgboost
mupluslambda,9971.0,2,xgboost
mupluslambda,9977.0,1,xgboost
mupluslambda,9978.0,3,xgboost
mupluslambda,9956.0,1,xgboost
mupluslambda,9957.0,1,xgboost
mupluslambda,9960.0,2,xgboost
mupluslambda,15.0,1,xgboost
mupluslambda,9964.0,2,xgboost
mupluslambda,219.0,2,xgboost
mupluslambda,9946.0,1,xgboost
mupluslambda,9950.0,3,xgboost
mupluslambda,7592.0,1,xgboost
mupluslambda,16.0,1,xgboost
mupluslambda,18.0,2,xgboost
mupluslambda,2073.0,1,xgboost
mupluslambda,2074.0,1,xgboost
mupluslambda,2079.0,2,xgboost
mupluslambda,22.0,2,xgboost
mupluslambda,167120.0,1,xgboost
mupluslambda,24.0,1,xgboost
mupluslambda,28.0,1,xgboost
mupluslambda,29.0,2,xgboost
mupluslambda,3481.0,2,xgboost
mupluslambda,3022.0,2,xgboost
mupluslambda,31.0,2,xgboost
mupluslambda,3485.0,4,xgboost
mupluslambda,32.0,2,xgboost
mupluslambda,3493.0,1,xgboost
mupluslambda,37.0,2,xgboost
mupluslambda,3510.0,2,xgboost
mupluslambda,3512.0,2,xgboost
mupluslambda,3021.0,2,xgboost
mupluslambda,125921.0,2,xgboost
mupluslambda,145681.0,2,xgboost
mupluslambda,146607.0,1,xgboost
mupluslambda,146195.0,1,xgboost
mupluslambda,167140.0,2,xgboost
mupluslambda,146212.0,1,xgboost
mupluslambda,167141.0,2,xgboost
mupluslambda,167211.0,10,xgboost
mupluslambda,167121.0,2,xgboost
mupluslambda,167124.0,2,xgboost
mupluslambda,146800.0,2,xgboost
mupluslambda,146821.0,2,xgboost
mupluslambda,167125.0,2,xgboost
mupluslambda,146824.0,2,xgboost
mupluslambda,146818.0,2,xgboost
mupluslambda,146817.0,2,xgboost
mupluslambda,146820.0,1,xgboost
mupluslambda,146822.0,1,xgboost
mupluslambda,146819.0,2,xgboost
mupluslambda,146825.0,1,xgboost
mupluslambda,167119.0,1,xgboost
mupluslambda,168908.0,1,xgboost
mupluslambda,168911.0,2,xgboost
mupluslambda,168912.0,10,xgboost
mupluslambda,168335.0,2,xgboost
mupluslambda,190411.0,4,xgboost
mupluslambda,190412.0,2,xgboost
mupluslambda,168337.0,1,xgboost
mupluslambda,168338.0,2,xgboost
mupluslambda,168336.0,2,xgboost
mupluslambda,168909.0,10,xgboost
mupluslambda,168910.0,1,xgboost
mupluslambda,168332.0,2,xgboost
mupluslambda,168331.0,1,xgboost
mupluslambda,168330.0,1,xgboost
mupluslambda,168329.0,4,xgboost
mupluslambda,189924.0,2,xgboost
mupluslambda,189927.0,1,xgboost
mupluslambda,9910.0,1,xgboost
mupluslambda,10106.0,2,xgboost
mupluslambda,41.0,1,xgboost
mupluslambda,43.0,2,xgboost
mupluslambda,14952.0,1,xgboost
mupluslambda,14969.0,2,xgboost
mupluslambda,168339.0,1,xgboost
mupluslambda,3549.0,1,xgboost
mupluslambda,45.0,1,xgboost
mupluslambda,3560.0,2,xgboost
mupluslambda,3561.0,2,xgboost
mupluslambda,49.0,1,xgboost
mupluslambda,53.0,1,xgboost
mupluslambda,3573.0,2,xgboost
mupluslambda,6.0,1,xgboost
mupluslambda,58.0,2,xgboost
random_search,3893.0,1,svm
random_search,3902.0,1,svm
random_search,3903.0,1,svm
random_search,3907.0,1,svm
random_search,3913.0,1,svm
random_search,3945.0,1,svm
random_search,14971.0,3,svm
random_search,14.0,2,svm
random_search,10090.0,2,svm
random_search,14965.0,2,svm
random_search,9981.0,2,svm
random_search,9986.0,2,svm
random_search,9970.0,1,svm
random_search,9971.0,1,svm
random_search,9976.0,1,svm
random_search,9978.0,2,svm
random_search,9952.0,1,svm
random_search,15.0,1,svm
random_search,9964.0,1,svm
random_search,9950.0,1,svm
random_search,16.0,1,svm
random_search,2073.0,1,svm
random_search,2079.0,3,svm
random_search,22.0,1,svm
random_search,3.0,1,svm
random_search,31.0,1,svm
random_search,3512.0,1,svm
random_search,3021.0,2,svm
random_search,125921.0,1,svm
random_search,146607.0,1,svm
random_search,146195.0,2,svm
random_search,146212.0,2,svm
random_search,167141.0,1,svm
random_search,146800.0,1,svm
random_search,167125.0,2,svm
random_search,146824.0,1,svm
random_search,146820.0,2,svm
random_search,146819.0,1,svm
random_search,168868.0,1,svm
random_search,190412.0,1,svm
random_search,168336.0,1,svm
random_search,168910.0,1,svm
random_search,168329.0,1,svm
random_search,189928.0,1,svm
random_search,9910.0,1,svm
random_search,41.0,1,svm
random_search,43.0,1,svm
random_search,14952.0,2,svm
random_search,14969.0,1,svm
random_search,3549.0,1,svm
random_search,45.0,1,svm
random_search,58.0,1,svm
random_search,14954.0,1,svm
True,3902.0,2,svm
True,3903.0,1,svm
True,3904.0,1,svm
True,3913.0,1,svm
True,3917.0,1,svm
True,3918.0,1,svm
True,11.0,1,svm
True,3945.0,2,svm
True,9981.0,1,svm
True,9970.0,1,svm
True,9952.0,2,svm
True,9964.0,1,svm
True,219.0,1,svm
True,16.0,1,svm
True,2079.0,1,svm
True,23.0,1,svm
True,125920.0,4,svm
True,29.0,1,svm
True,3022.0,2,svm
True,37.0,1,svm
True,125921.0,1,svm
True,146195.0,1,svm
True,167141.0,1,svm
True,167211.0,1,svm
True,146800.0,1,svm
True,146821.0,2,svm
True,146817.0,1,svm
True,168908.0,1,svm
True,168911.0,1,svm
True,168912.0,1,svm
True,190412.0,1,svm
True,168910.0,1,svm
True,189924.0,1,svm
True,14969.0,1,svm
True,3560.0,1,svm
True,58.0,1,svm
mupluslambda,3902.0,1,svm
mupluslambda,3918.0,1,svm
mupluslambda,9981.0,1,svm
mupluslambda,15.0,1,svm
mupluslambda,219.0,1,svm
mupluslambda,9946.0,1,svm
mupluslambda,2073.0,1,svm
mupluslambda,125920.0,1,svm
mupluslambda,31.0,1,svm
mupluslambda,32.0,1,svm
mupluslambda,146212.0,1,svm
mupluslambda,146819.0,1,svm
mupluslambda,167119.0,1,svm
mupluslambda,189928.0,1,svm
mupluslambda,45.0,1,svm
mupluslambda,58.0,1,svm
mupluslambda,14954.0,1,svm
random_search,3893.0,2,knn
random_search,3902.0,1,knn
random_search,3903.0,1,knn
random_search,3904.0,2,knn
random_search,3907.0,2,knn
random_search,3913.0,2,knn
random_search,11.0,2,knn
random_search,12.0,2,knn
random_search,14971.0,2,knn
random_search,14.0,1,knn
random_search,10090.0,4,knn
random_search,14965.0,1,knn
random_search,10093.0,1,knn
random_search,10101.0,2,knn
random_search,9981.0,3,knn
random_search,9985.0,1,knn
random_search,9986.0,2,knn
random_search,14970.0,2,knn
random_search,9970.0,2,knn
random_search,9971.0,3,knn
random_search,9978.0,1,knn
random_search,9956.0,2,knn
random_search,15.0,1,knn
random_search,9964.0,1,knn
random_search,219.0,2,knn
random_search,9946.0,1,knn
random_search,9950.0,2,knn
random_search,7592.0,2,knn
random_search,16.0,3,knn
random_search,2079.0,1,knn
random_search,22.0,1,knn
random_search,23.0,2,knn
random_search,146606.0,1,knn
random_search,24.0,1,knn
random_search,28.0,1,knn
random_search,29.0,2,knn
random_search,3481.0,2,knn
random_search,3022.0,3,knn
random_search,31.0,1,knn
random_search,32.0,2,knn
random_search,3493.0,3,knn
random_search,37.0,2,knn
random_search,3512.0,1,knn
random_search,3021.0,2,knn
random_search,125921.0,1,knn
random_search,146607.0,1,knn
random_search,146195.0,1,knn
random_search,146212.0,1,knn
random_search,167121.0,1,knn
random_search,167124.0,2,knn
random_search,146800.0,2,knn
random_search,167125.0,2,knn
random_search,146824.0,1,knn
random_search,146817.0,1,knn
random_search,146820.0,1,knn
random_search,146825.0,1,knn
random_search,167119.0,2,knn
random_search,168868.0,1,knn
random_search,168908.0,1,knn
random_search,168911.0,3,knn
random_search,168912.0,2,knn
random_search,190411.0,2,knn
random_search,168336.0,2,knn
random_search,168331.0,3,knn
random_search,168330.0,2,knn
random_search,168329.0,2,knn
random_search,189928.0,1,knn
random_search,189924.0,2,knn
random_search,189927.0,2,knn
random_search,9910.0,2,knn
random_search,41.0,1,knn
random_search,43.0,2,knn
random_search,14952.0,3,knn
random_search,14969.0,2,knn
random_search,168339.0,2,knn
random_search,3549.0,2,knn
random_search,45.0,1,knn
random_search,3560.0,1,knn
random_search,53.0,2,knn
random_search,6.0,1,knn
random_search,14954.0,2,knn
True,3893.0,1,knn
True,3902.0,1,knn
True,3903.0,1,knn
True,3907.0,2,knn
True,3913.0,1,knn
True,3945.0,1,knn
True,12.0,3,knn
True,14971.0,2,knn
True,10090.0,1,knn
True,10093.0,1,knn
True,9981.0,1,knn
True,9985.0,2,knn
True,14970.0,2,knn
True,9971.0,2,knn
True,9976.0,1,knn
True,9977.0,1,knn
True,9957.0,2,knn
True,15.0,1,knn
True,9964.0,2,knn
True,219.0,1,knn
True,9946.0,1,knn
True,16.0,1,knn
True,2074.0,1,knn
True,23.0,3,knn
True,125920.0,1,knn
True,146606.0,1,knn
True,167120.0,1,knn
True,24.0,1,knn
True,3.0,2,knn
True,3481.0,1,knn
True,3022.0,1,knn
True,31.0,1,knn
True,3485.0,1,knn
True,32.0,1,knn
True,3493.0,1,knn
True,37.0,2,knn
True,3510.0,1,knn
True,3512.0,2,knn
True,125921.0,1,knn
True,145681.0,1,knn
True,125922.0,2,knn
True,146195.0,1,knn
True,167140.0,1,knn
True,146212.0,1,knn
True,167141.0,2,knn
True,167121.0,2,knn
True,146800.0,1,knn
True,146824.0,2,knn
True,146817.0,1,knn
True,146820.0,2,knn
True,146822.0,1,knn
True,146819.0,1,knn
True,168868.0,2,knn
True,168908.0,2,knn
True,168911.0,1,knn
True,168335.0,3,knn
True,190411.0,1,knn
True,168910.0,2,knn
True,168332.0,2,knn
True,168331.0,1,knn
True,168330.0,2,knn
True,168329.0,1,knn
True,189924.0,1,knn
True,189927.0,1,knn
True,41.0,1,knn
True,14952.0,1,knn
True,14969.0,1,knn
True,3549.0,1,knn
True,3560.0,2,knn
True,3561.0,1,knn
True,3573.0,1,knn
True,6.0,1,knn
True,14954.0,2,knn
mupluslambda,3022.0,1,knn
mupluslambda,125922.0,1,knn
mupluslambda,167140.0,2,knn
mupluslambda,168338.0,1,knn
mupluslambda,168336.0,1,knn
mupluslambda,168909.0,1,knn
random_search,3.0,1,rf
random_search,6.0,1,rf
random_search,11.0,2,rf
random_search,14.0,2,rf
random_search,15.0,1,rf
random_search,16.0,1,rf
random_search,18.0,3,rf
random_search,23.0,3,rf
random_search,2073.0,1,rf
random_search,2074.0,1,rf
random_search,28.0,1,rf
random_search,2079.0,1,rf
random_search,31.0,2,rf
random_search,37.0,1,rf
random_search,45.0,1,rf
random_search,53.0,2,rf
random_search,58.0,3,rf
random_search,14952.0,1,rf
random_search,14965.0,1,rf
random_search,14969.0,2,rf
random_search,9910.0,1,rf
random_search,167119.0,1,rf
random_search,167120.0,2,rf
random_search,9946.0,1,rf
random_search,9952.0,4,rf
random_search,9960.0,2,rf
random_search,34539.0,1,rf
random_search,9970.0,3,rf
random_search,9978.0,2,rf
random_search,9981.0,1,rf
random_search,9985.0,2,rf
random_search,9986.0,1,rf
random_search,145681.0,3,rf
random_search,146195.0,1,rf
random_search,167211.0,1,rf
random_search,3893.0,1,rf
random_search,3902.0,4,rf
random_search,3904.0,1,rf
random_search,3907.0,4,rf
random_search,3917.0,2,rf
random_search,3918.0,1,rf
random_search,10090.0,1,rf
random_search,10093.0,2,rf
random_search,10106.0,1,rf
random_search,146817.0,1,rf
random_search,146818.0,2,rf
random_search,146819.0,1,rf
random_search,146822.0,2,rf
random_search,146824.0,1,rf
random_search,168330.0,2,rf
random_search,168331.0,1,rf
random_search,168332.0,3,rf
random_search,168329.0,1,rf
random_search,168335.0,1,rf
random_search,168336.0,2,rf
random_search,168337.0,1,rf
random_search,168338.0,1,rf
random_search,3485.0,1,rf
random_search,168868.0,2,rf
random_search,7592.0,1,rf
random_search,3512.0,1,rf
random_search,190412.0,2,rf
random_search,168908.0,2,rf
random_search,3021.0,3,rf
random_search,3022.0,1,rf
random_search,168911.0,1,rf
random_search,168912.0,3,rf
random_search,168909.0,2,rf
random_search,168910.0,1,rf
random_search,125920.0,2,rf
random_search,125921.0,1,rf
random_search,125922.0,1,rf
random_search,189927.0,1,rf
random_search,189928.0,3,rf
random_search,3561.0,1,rf
True,6.0,2,rf
True,12.0,1,rf
True,23.0,1,rf
True,2074.0,1,rf
True,2079.0,1,rf
True,32.0,1,rf
True,41.0,1,rf
True,45.0,1,rf
True,49.0,1,rf
True,58.0,1,rf
True,146606.0,1,rf
True,167120.0,1,rf
True,167124.0,1,rf
True,9952.0,2,rf
True,167140.0,2,rf
True,9964.0,1,rf
True,34539.0,1,rf
True,9971.0,1,rf
True,9976.0,1,rf
True,145681.0,1,rf
True,146195.0,1,rf
True,146212.0,1,rf
True,167211.0,1,rf
True,3893.0,1,rf
True,3902.0,1,rf
True,3918.0,2,rf
True,3945.0,1,rf
True,10093.0,1,rf
True,146800.0,1,rf
True,146820.0,2,rf
True,146825.0,1,rf
True,168330.0,1,rf
True,168332.0,1,rf
True,168329.0,1,rf
True,168336.0,1,rf
True,168337.0,1,rf
True,168339.0,1,rf
True,190412.0,1,rf
True,168912.0,1,rf
True,125920.0,1,rf
True,125921.0,2,rf
True,125922.0,1,rf
True,189924.0,1,rf
True,189928.0,3,rf
True,3560.0,1,rf
mupluslambda,168910.0,1,rf
random_search,3902.0,1,rpart
random_search,3903.0,1,rpart
random_search,3904.0,1,rpart
random_search,3907.0,2,rpart
random_search,3913.0,1,rpart
random_search,3918.0,2,rpart
random_search,11.0,3,rpart
random_search,10090.0,1,rpart
random_search,10093.0,3,rpart
random_search,10101.0,2,rpart
random_search,9981.0,1,rpart
random_search,9985.0,2,rpart
random_search,9986.0,1,rpart
random_search,14970.0,1,rpart
random_search,9976.0,1,rpart
random_search,9977.0,1,rpart
random_search,9978.0,1,rpart
random_search,9956.0,5,rpart
random_search,9960.0,3,rpart
random_search,15.0,1,rpart
random_search,9964.0,1,rpart
random_search,219.0,3,rpart
random_search,9946.0,1,rpart
random_search,9950.0,3,rpart
random_search,7592.0,3,rpart
random_search,18.0,1,rpart
random_search,2073.0,2,rpart
random_search,2074.0,1,rpart
random_search,2079.0,1,rpart
random_search,22.0,1,rpart
random_search,23.0,4,rpart
random_search,146606.0,2,rpart
random_search,24.0,2,rpart
random_search,28.0,1,rpart
random_search,29.0,1,rpart
random_search,3.0,2,rpart
random_search,3481.0,2,rpart
random_search,3022.0,1,rpart
random_search,3485.0,2,rpart
random_search,32.0,1,rpart
random_search,3493.0,3,rpart
random_search,37.0,2,rpart
random_search,3510.0,1,rpart
random_search,3512.0,1,rpart
random_search,125921.0,3,rpart
random_search,145681.0,2,rpart
random_search,125922.0,2,rpart
random_search,146195.0,1,rpart
random_search,167140.0,2,rpart
random_search,146212.0,1,rpart
random_search,167141.0,2,rpart
random_search,167211.0,1,rpart
random_search,146800.0,2,rpart
random_search,146821.0,3,rpart
random_search,167125.0,3,rpart
random_search,146824.0,1,rpart
random_search,146818.0,1,rpart
random_search,146817.0,2,rpart
random_search,146820.0,1,rpart
random_search,146819.0,3,rpart
random_search,146825.0,3,rpart
random_search,167119.0,2,rpart
random_search,168908.0,3,rpart
random_search,168911.0,1,rpart
random_search,168912.0,2,rpart
random_search,168335.0,1,rpart
random_search,190411.0,2,rpart
random_search,190412.0,2,rpart
random_search,168337.0,3,rpart
random_search,168338.0,2,rpart
random_search,168336.0,2,rpart
random_search,168909.0,1,rpart
random_search,168332.0,2,rpart
random_search,168331.0,2,rpart
random_search,168330.0,1,rpart
random_search,168329.0,2,rpart
random_search,189928.0,1,rpart
random_search,9910.0,1,rpart
random_search,41.0,2,rpart
random_search,43.0,2,rpart
random_search,14952.0,1,rpart
random_search,14969.0,3,rpart
random_search,168339.0,2,rpart
random_search,3549.0,1,rpart
random_search,45.0,1,rpart
random_search,3560.0,1,rpart
random_search,3561.0,2,rpart
random_search,53.0,3,rpart
random_search,3573.0,1,rpart
random_search,58.0,3,rpart
random_search,14954.0,3,rpart
True,3893.0,2,rpart
True,3904.0,1,rpart
True,3907.0,1,rpart
True,11.0,1,rpart
True,3945.0,1,rpart
True,14971.0,3,rpart
True,10090.0,1,rpart
True,9986.0,2,rpart
True,9970.0,1,rpart
True,9971.0,1,rpart
True,9977.0,1,rpart
True,9978.0,2,rpart
True,9952.0,1,rpart
True,9956.0,2,rpart
True,9960.0,1,rpart
True,15.0,1,rpart
True,9964.0,2,rpart
True,219.0,2,rpart
True,7592.0,1,rpart
True,16.0,3,rpart
True,2073.0,1,rpart
True,23.0,2,rpart
True,167120.0,2,rpart
True,29.0,1,rpart
True,3485.0,2,rpart
True,32.0,1,rpart
True,37.0,1,rpart
True,3510.0,1,rpart
True,3512.0,1,rpart
True,125921.0,1,rpart
True,145681.0,1,rpart
True,167140.0,1,rpart
True,146212.0,1,rpart
True,167141.0,1,rpart
True,167211.0,2,rpart
True,167121.0,2,rpart
True,167124.0,2,rpart
True,167125.0,2,rpart
True,146820.0,2,rpart
True,146819.0,3,rpart
True,146825.0,1,rpart
True,168868.0,1,rpart
True,168908.0,1,rpart
True,168912.0,2,rpart
True,190412.0,1,rpart
True,168338.0,1,rpart
True,168910.0,2,rpart
True,168332.0,2,rpart
True,168331.0,1,rpart
True,168330.0,1,rpart
True,9910.0,1,rpart
True,41.0,1,rpart
True,43.0,1,rpart
True,168339.0,3,rpart
True,3549.0,1,rpart
True,3561.0,1,rpart
True,49.0,2,rpart
True,6.0,1,rpart
True,58.0,1,rpart
mupluslambda,125921.0,1,rpart
mupluslambda,167121.0,1,rpart
mupluslambda,146820.0,1,rpart
mupluslambda,146822.0,1,rpart
mupluslambda,3560.0,1,rpart
random_search,3893.0,1,glmnet
random_search,3907.0,1,glmnet
random_search,3918.0,1,glmnet
random_search,11.0,2,glmnet
random_search,14971.0,2,glmnet
random_search,14.0,2,glmnet
random_search,10090.0,1,glmnet
random_search,10101.0,1,glmnet
random_search,9981.0,1,glmnet
random_search,9985.0,1,glmnet
random_search,14970.0,1,glmnet
random_search,9977.0,1,glmnet
random_search,9978.0,1,glmnet
random_search,9952.0,1,glmnet
random_search,9956.0,1,glmnet
random_search,9957.0,2,glmnet
random_search,9964.0,1,glmnet
random_search,219.0,1,glmnet
random_search,9950.0,1,glmnet
random_search,7592.0,2,glmnet
random_search,18.0,2,glmnet
random_search,2073.0,1,glmnet
random_search,2074.0,2,glmnet
random_search,22.0,1,glmnet
random_search,146606.0,1,glmnet
random_search,3022.0,1,glmnet
random_search,31.0,1,glmnet
random_search,3485.0,1,glmnet
random_search,32.0,1,glmnet
random_search,3493.0,1,glmnet
random_search,3510.0,1,glmnet
random_search,3512.0,2,glmnet
random_search,125921.0,1,glmnet
random_search,125922.0,2,glmnet
random_search,146800.0,1,glmnet
random_search,146821.0,1,glmnet
random_search,167125.0,3,glmnet
random_search,146820.0,1,glmnet
random_search,167119.0,2,glmnet
random_search,168912.0,1,glmnet
random_search,190411.0,1,glmnet
random_search,168910.0,1,glmnet
random_search,189928.0,1,glmnet
random_search,189924.0,3,glmnet
random_search,189927.0,2,glmnet
random_search,34539.0,1,glmnet
random_search,14952.0,1,glmnet
random_search,14969.0,3,glmnet
random_search,168339.0,1,glmnet
random_search,3549.0,2,glmnet
random_search,45.0,2,glmnet
random_search,3560.0,2,glmnet
random_search,3573.0,1,glmnet
random_search,6.0,2,glmnet
random_search,14954.0,2,glmnet
True,3902.0,1,glmnet
True,3903.0,1,glmnet
True,3917.0,1,glmnet
True,3918.0,1,glmnet
True,14971.0,1,glmnet
True,10090.0,1,glmnet
True,10101.0,2,glmnet
True,9970.0,1,glmnet
True,9976.0,1,glmnet
True,9978.0,2,glmnet
True,9956.0,1,glmnet
True,219.0,1,glmnet
True,7592.0,2,glmnet
True,16.0,1,glmnet
True,2074.0,2,glmnet
True,3022.0,1,glmnet
True,31.0,1,glmnet
True,32.0,2,glmnet
True,3493.0,1,glmnet
True,37.0,1,glmnet
True,3021.0,2,glmnet
True,125921.0,1,glmnet
True,146195.0,1,glmnet
True,167141.0,1,glmnet
True,167211.0,1,glmnet
True,146800.0,1,glmnet
True,146824.0,1,glmnet
True,168868.0,1,glmnet
True,190412.0,1,glmnet
True,168331.0,1,glmnet
True,168330.0,1,glmnet
True,189927.0,1,glmnet
True,34539.0,1,glmnet
True,41.0,1,glmnet
True,14969.0,1,glmnet
True,3549.0,1,glmnet
True,3560.0,2,glmnet
True,53.0,1,glmnet
True,3573.0,1,glmnet
mupluslambda,125922.0,1,glmnet
mupluslambda,167140.0,1,glmnet
